electoral_district,reported,Harris-Walz_Democratic,Trump-Vance_Republican,Trump-Vance_Conservative,Harris-Walz_Working_Families,write_in,assembly_district
ED 2,88.89%,620,66,14,20,8,AD   83
ED 3,88.89%,582,96,17,17,5,AD   83
ED 4,88.89%,496,52,6,16,2,AD   83
ED 5,88.89%,527,49,11,9,3,AD   83
ED 6,99.00%,714,69,11,17,6,AD   83
ED 7,99.00%,732,73,13,16,2,AD   83
ED 8,99.00%,458,71,6,7,11,AD   83
ED 9,99.00%,416,72,3,9,1,AD   83
ED 10,99.00%,474,79,4,12,3,AD   83
ED 11,99.00%,653,89,8,16,4,AD   83
ED 12,99.00%,439,75,4,9,6,AD   83
ED 13,99.00%,392,71,8,20,11,AD   83
ED 14,99.00%,397,85,4,16,4,AD   83
ED 15,99.00%,547,95,7,16,8,AD   83
ED 16,99.00%,570,61,6,16,4,AD   83
ED 17,99.00%,545,79,3,14,6,AD   83
ED 18,99.00%,376,64,5,11,5,AD   83
ED 19,99.00%,492,85,7,23,1,AD   83
ED 20,99.00%,623,80,13,16,11,AD   83
ED 21,99.00%,682,52,3,16,7,AD   83
ED 22,99.00%,702,79,7,15,3,AD   83
ED 23,99.00%,801,78,7,17,9,AD   83
ED 24,99.00%,514,60,5,13,3,AD   83
ED 25,99.00%,709,57,12,15,7,AD   83
ED 26,99.00%,578,74,9,17,3,AD   83
ED 27,99.00%,396,77,14,8,2,AD   83
ED 28,99.00%,421,54,3,10,1,AD   83
ED 29,99.00%,356,48,7,7,3,AD   83
ED 30,99.00%,482,113,4,17,7,AD   83
ED 31,99.00%,494,96,8,19,3,AD   83
ED 32,99.00%,628,81,6,16,3,AD   83
ED 33,99.00%,609,69,3,18,4,AD   83
ED 34,99.00%,537,81,5,13,6,AD   83
ED 35,99.00%,588,83,14,13,3,AD   83
ED 36,99.00%,399,44,2,13,2,AD   83
ED 37,99.00%,379,28,1,14,5,AD   83
ED 38,99.00%,381,75,7,12,4,AD   83
ED 39,99.00%,487,59,5,10,2,AD   83
ED 40,99.00%,255,42,4,7,2,AD   83
