electoral_district,reported,Harris-Walz_Democratic,Trump-Vance_Republican,Trump-Vance_Conservative,Harris-Walz_Working_Families,write_in,assembly_district,ed_map_for_viz,total_votes,trump_votes,harris_votes,vote_counts,trump_votes_pct,harris_votes_pct,vote_counts_pct
ED 1,99.00%,371,168,7,26,3,AD   77,77001,575,175,397,-222,30.434782608695656,69.04347826086956,-38.60869565217391
ED 2,99.00%,503,200,7,17,6,AD   77,77002,733,207,520,-313,28.240109140518417,70.94133697135061,-42.701227830832195
ED 3,99.00%,471,144,18,12,2,AD   77,77003,647,162,483,-321,25.0386398763524,74.65224111282845,-49.61360123647605
ED 4,83.33%,94,27,2,6,2,AD   77,77004,131,29,100,-71,22.137404580152673,76.33587786259542,-54.19847328244275
ED 5,99.00%,470,178,11,11,2,AD   77,77005,672,189,481,-292,28.125,71.57738095238095,-43.45238095238095
ED 6,99.00%,466,155,15,18,2,AD   77,77006,656,170,484,-314,25.914634146341463,73.78048780487805,-47.86585365853659
ED 7,99.00%,478,202,11,12,4,AD   77,77007,707,213,490,-277,30.12729844413013,69.3069306930693,-39.17963224893917
ED 8,99.00%,414,145,10,11,7,AD   77,77008,587,155,425,-270,26.405451448040886,72.40204429301534,-45.99659284497445
ED 9,99.00%,488,200,16,14,6,AD   77,77009,724,216,502,-286,29.83425414364641,69.33701657458563,-39.50276243093922
ED 10,99.00%,449,195,7,21,5,AD   77,77010,677,202,470,-268,29.83751846381093,69.42392909896603,-39.5864106351551
ED 11,99.00%,475,196,15,10,1,AD   77,77011,697,211,485,-274,30.272596843615496,69.58393113342898,-39.31133428981348
ED 12,99.00%,481,144,12,18,6,AD   77,77012,661,156,499,-343,23.600605143721634,75.49167927382754,-51.891074130105906
ED 13,99.00%,553,174,19,14,2,AD   77,77013,762,193,567,-374,25.32808398950131,74.40944881889764,-49.081364829396335
ED 14,99.00%,470,132,6,16,3,AD   77,77014,627,138,486,-348,22.00956937799043,77.51196172248804,-55.50239234449761
ED 15,99.00%,40,20,1,3,0,AD   77,77015,64,21,43,-22,32.8125,67.1875,-34.375
ED 16,99.00%,98,17,1,5,1,AD   77,77016,122,18,103,-85,14.754098360655737,84.42622950819673,-69.672131147541
ED 17,99.00%,348,92,6,8,1,AD   77,77017,455,98,356,-258,21.53846153846154,78.24175824175825,-56.70329670329671
ED 18,99.00%,350,103,5,16,5,AD   77,77018,479,108,366,-258,22.546972860125262,76.40918580375782,-53.86221294363256
ED 19,99.00%,418,94,5,10,1,AD   77,77019,528,99,428,-329,18.75,81.06060606060606,-62.31060606060606
ED 20,99.00%,141,51,3,5,1,AD   77,77020,201,54,146,-92,26.865671641791046,72.636815920398,-45.77114427860696
ED 21,99.00%,297,119,6,11,3,AD   77,77021,436,125,308,-183,28.6697247706422,70.64220183486239,-41.972477064220186
ED 22,85.71%,250,95,7,4,3,AD   77,77022,359,102,254,-152,28.412256267409468,70.75208913649024,-42.33983286908077
ED 23,85.71%,365,132,6,17,2,AD   77,77023,522,138,382,-244,26.436781609195403,73.18007662835248,-46.743295019157074
ED 24,99.00%,401,114,12,11,2,AD   77,77024,540,126,412,-286,23.333333333333332,76.29629629629629,-52.96296296296296
ED 25,99.00%,246,95,2,6,2,AD   77,77025,351,97,252,-155,27.635327635327634,71.7948717948718,-44.15954415954416
ED 26,99.00%,350,166,6,9,1,AD   77,77026,532,172,359,-187,32.33082706766917,67.4812030075188,-35.15037593984963
ED 27,99.00%,379,163,6,10,2,AD   77,77027,560,169,389,-220,30.178571428571427,69.46428571428571,-39.28571428571428
ED 28,99.00%,264,93,5,5,4,AD   77,77028,371,98,269,-171,26.41509433962264,72.50673854447439,-46.09164420485175
ED 29,99.00%,114,42,5,3,1,AD   77,77029,165,47,117,-70,28.484848484848484,70.9090909090909,-42.42424242424242
ED 30,99.00%,156,51,3,3,0,AD   77,77030,213,54,159,-105,25.352112676056336,74.64788732394366,-49.29577464788733
ED 31,99.00%,334,123,6,10,3,AD   77,77031,476,129,344,-215,27.100840336134453,72.26890756302521,-45.168067226890756
ED 32,99.00%,370,131,7,9,5,AD   77,77032,522,138,379,-241,26.436781609195403,72.60536398467433,-46.16858237547892
ED 33,87.50%,171,59,8,6,3,AD   77,77033,247,67,177,-110,27.125506072874494,71.65991902834008,-44.53441295546559
ED 34,87.50%,149,81,6,3,1,AD   77,77034,240,87,152,-65,36.25,63.33333333333333,-27.08333333333333
ED 35,87.50%,283,122,8,5,5,AD   77,77035,423,130,288,-158,30.73286052009456,68.08510638297872,-37.35224586288416
ED 36,87.50%,253,117,3,6,2,AD   77,77036,381,120,259,-139,31.496062992125985,67.97900262467192,-36.482939632545936
ED 37,87.50%,338,108,11,17,3,AD   77,77037,477,119,355,-236,24.947589098532493,74.42348008385744,-49.47589098532495
ED 38,99.00%,246,74,5,6,3,AD   77,77038,334,79,252,-173,23.652694610778443,75.44910179640718,-51.79640718562874
ED 39,87.50%,340,167,6,8,2,AD   77,77039,523,173,348,-175,33.07839388145315,66.53919694072657,-33.46080305927342
ED 40,99.00%,348,125,15,10,4,AD   77,77040,502,140,358,-218,27.88844621513944,71.31474103585657,-43.42629482071713
ED 41,99.00%,387,161,7,19,5,AD   77,77041,579,168,406,-238,29.015544041450774,70.12089810017271,-41.105354058721936
ED 42,99.00%,398,156,9,4,2,AD   77,77042,569,165,402,-237,28.998242530755714,70.65026362038664,-41.65202108963092
ED 43,99.00%,0,1,0,0,0,AD   77,77043,1,1,0,1,100.0,0.0,100.0
ED 44,99.00%,422,136,4,10,7,AD   77,77044,579,140,432,-292,24.179620034542314,74.61139896373057,-50.431778929188255
ED 45,83.33%,51,14,1,0,0,AD   77,77045,66,15,51,-36,22.727272727272727,77.27272727272727,-54.54545454545454
ED 46,83.33%,325,112,1,11,4,AD   77,77046,453,113,336,-223,24.944812362030905,74.17218543046357,-49.22737306843267
ED 47,99.00%,510,129,10,29,14,AD   77,77047,692,139,539,-400,20.08670520231214,77.89017341040463,-57.80346820809249
ED 48,83.33%,152,54,2,2,4,AD   77,77048,214,56,154,-98,26.168224299065418,71.96261682242991,-45.79439252336449
ED 49,99.00%,691,123,14,35,20,AD   77,77049,883,137,726,-589,15.51528878822197,82.21970554926388,-66.70441676104191
ED 50,83.33%,376,93,6,6,2,AD   77,77050,483,99,382,-283,20.496894409937887,79.08902691511386,-58.592132505175975
ED 51,99.00%,292,94,2,17,7,AD   77,77051,412,96,309,-213,23.300970873786408,75.0,-51.69902912621359
ED 52,99.00%,474,159,7,17,7,AD   77,77052,664,166,491,-325,25.0,73.94578313253012,-48.945783132530124
ED 53,99.00%,397,144,9,8,7,AD   77,77053,565,153,405,-252,27.079646017699115,71.68141592920354,-44.60176991150442
ED 54,99.00%,220,121,2,5,2,AD   77,77054,350,123,225,-102,35.14285714285714,64.28571428571429,-29.142857142857153
ED 55,99.00%,119,60,4,4,0,AD   77,77055,187,64,123,-59,34.22459893048128,65.77540106951871,-31.55080213903743
ED 56,99.00%,273,148,11,4,4,AD   77,77056,440,159,277,-118,36.13636363636364,62.95454545454545,-26.818181818181813
ED 57,99.00%,0,0,0,0,0,AD   77,77057,0,0,0,0,,,0.0
ED 58,83.33%,0,0,0,0,0,AD   77,77058,0,0,0,0,,,0.0
ED 59,99.00%,0,0,0,0,0,AD   77,77059,0,0,0,0,,,0.0
ED 60,99.00%,0,0,0,0,0,AD   77,77060,0,0,0,0,,,0.0
ED 61,99.00%,0,0,0,0,0,AD   77,77061,0,0,0,0,,,0.0
ED 62,99.00%,0,0,0,0,0,AD   77,77062,0,0,0,0,,,0.0
ED 63,99.00%,0,0,0,0,0,AD   77,77063,0,0,0,0,,,0.0
ED 1,99.00%,366,117,8,15,4,AD   78,78001,510,125,381,-256,24.509803921568626,74.70588235294117,-50.19607843137255
ED 2,99.00%,484,123,8,19,4,AD   78,78002,638,131,503,-372,20.532915360501566,78.84012539184953,-58.307210031347964
ED 3,99.00%,407,142,11,9,0,AD   78,78003,569,153,416,-263,26.889279437609844,73.11072056239016,-46.22144112478031
ED 4,99.00%,360,96,8,12,1,AD   78,78004,477,104,372,-268,21.80293501048218,77.9874213836478,-56.18448637316562
ED 5,99.00%,265,122,9,10,4,AD   78,78005,410,131,275,-144,31.951219512195124,67.07317073170732,-35.1219512195122
ED 6,99.00%,262,115,6,9,3,AD   78,78006,395,121,271,-150,30.632911392405067,68.60759493670886,-37.9746835443038
ED 7,99.00%,381,161,14,14,3,AD   78,78007,573,175,395,-220,30.54101221640489,68.93542757417103,-38.394415357766135
ED 8,99.00%,230,125,8,7,8,AD   78,78008,378,133,237,-104,35.18518518518518,62.698412698412696,-27.513227513227513
ED 9,99.00%,229,96,10,12,9,AD   78,78009,356,106,241,-135,29.775280898876407,67.69662921348315,-37.921348314606746
ED 10,99.00%,401,113,12,18,4,AD   78,78010,548,125,419,-294,22.81021897810219,76.45985401459853,-53.64963503649635
ED 11,99.00%,211,58,6,12,6,AD   78,78011,293,64,223,-159,21.843003412969285,76.10921501706484,-54.26621160409556
ED 12,87.50%,243,119,12,14,6,AD   78,78012,394,131,257,-126,33.24873096446701,65.22842639593908,-31.979695431472074
ED 13,87.50%,248,77,4,7,1,AD   78,78013,337,81,255,-174,24.03560830860534,75.66765578635015,-51.63204747774481
ED 14,99.00%,335,144,13,11,3,AD   78,78014,506,157,346,-189,31.027667984189723,68.37944664031622,-37.3517786561265
ED 15,99.00%,64,33,4,3,0,AD   78,78015,104,37,67,-30,35.57692307692308,64.42307692307693,-28.846153846153854
ED 16,99.00%,225,99,6,10,7,AD   78,78016,347,105,235,-130,30.25936599423631,67.72334293948127,-37.463976945244966
ED 17,99.00%,397,215,8,8,9,AD   78,78017,637,223,405,-182,35.00784929356358,63.57927786499214,-28.571428571428562
ED 18,99.00%,373,203,12,8,3,AD   78,78018,599,215,381,-166,35.89315525876461,63.60601001669449,-27.712854757929883
ED 19,99.00%,355,142,9,21,4,AD   78,78019,531,151,376,-225,28.436911487758948,70.80979284369114,-42.37288135593219
ED 20,99.00%,428,159,14,14,5,AD   78,78020,620,173,442,-269,27.903225806451616,71.29032258064515,-43.38709677419354
ED 21,99.00%,309,171,5,17,3,AD   78,78021,505,176,326,-150,34.85148514851485,64.55445544554456,-29.702970297029715
ED 22,99.00%,350,203,16,21,6,AD   78,78022,596,219,371,-152,36.74496644295302,62.248322147651,-25.50335570469798
ED 23,87.50%,363,147,9,20,8,AD   78,78023,547,156,383,-227,28.519195612431442,70.018281535649,-41.49908592321755
ED 24,87.50%,56,18,0,2,1,AD   78,78024,77,18,58,-40,23.376623376623375,75.32467532467533,-51.948051948051955
ED 25,99.00%,381,152,16,19,11,AD   78,78025,579,168,400,-232,29.015544041450774,69.08462867012089,-40.06908462867012
ED 26,87.50%,284,117,5,18,5,AD   78,78026,429,122,302,-180,28.438228438228435,70.3962703962704,-41.95804195804196
ED 27,87.50%,379,170,16,21,10,AD   78,78027,596,186,400,-214,31.20805369127517,67.11409395973155,-35.90604026845638
ED 28,99.00%,502,241,17,38,14,AD   78,78028,812,258,540,-282,31.773399014778324,66.50246305418719,-34.72906403940887
ED 29,99.00%,468,244,10,33,5,AD   78,78029,760,254,501,-247,33.421052631578945,65.92105263157895,-32.5
ED 30,99.00%,452,162,11,21,13,AD   78,78030,659,173,473,-300,26.251896813353564,71.77541729893778,-45.523520485584214
ED 31,99.00%,248,88,6,14,3,AD   78,78031,359,94,262,-168,26.18384401114206,72.98050139275766,-46.7966573816156
ED 32,99.00%,512,96,4,18,7,AD   78,78032,637,100,530,-430,15.698587127158556,83.20251177394034,-67.50392464678178
